avg_backers_per_pledge_tier,avg_pledge_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_updates,owner,project_img,project_video,state,status,title
6.2,158.77,2019-05-09,2019-04-09,Product Design,Perth,"The original waterproof stash-bag, safe-box and speaker - ALL IN ONE - designed for watersports to keep your essentials safe!",125,"{10: 9, 199: 15, 299: 1, 358: 0, 845: 1}",52,$,75000,6.56,4922,31,0,0,11,0,Chris Kearney,False,True,AU,Cancelled by Creator,Stoked Stash
1.25,4.4,2019-05-05,2019-04-02,Video Games,Nottingham,"#AotMFC, A Fast Paced Action Platformer with flying fish that are swimming crows that are mutated half breeds of your nightmares!",129,"{5: 3, 6: 1, 7: 0, 33: 0}",875,£,5000,0.44,22,5,0,3,0,6,Ricky Wild,False,True,UK,Cancelled by Creator,Attack of the Mutant Fishcrows.
10.4,58.01,2019-05-10,2019-03-26,Product Design,New York,Gain Deeper Sleep and Better Focus with The Most Advanced Anti Blue Light Glasses built using Bioplastic Acetate and Japanese Lenses,132,"{39: 58, 40: 50, 49: 18, 55: 1, 65: 1, 75: 1, 89: 14, 99: 5, 149: 5}",4504,$,12500,72.39,9049,156,21,0,0,1,Omar Abu-Shaaban,False,True,NY,Cancelled by Creator,The Most Advanced Anti Blue Light Glasses You Will Ever Wear
0.5,16.33,2019-05-09,2019-04-04,Crafts,Austin,Hard enamel Pokémon pins based off the popular spin-off game,60,"{11: 0, 20: 2, 30: 0, 40: 0, 50: 0, 60: 0}",1522,$,200,24.5,49,3,0,0,0,0,MysteryDungeonStudio,True,False,TX,Cancelled by Creator,Pokemon Mystery Dungeon Enamel Pins
1.5,42.0,2019-05-17,2019-03-18,Art,San Francisco,A Tarot Deck merging all of the worlds mythology and spiritualism into one beautiful story of human existence.,110,"{25: 1, 100: 0}",2138,$,3500,3.6,126,3,0,0,0,2,Bettie Avalon,True,False,CA,Cancelled by Creator,Tarot of the Gods - A new view on an old tradition.
1.6,29.62,2019-05-07,2019-03-08,Accessories,Toronto,BluAway Specs are fashionable and premium blight light blocking glasses. These glasses protect your eyes and your sleep in style!,129,"{1: 1, 25: 3, 45: 3, 205: 0, 300: 0}",0,$,1500,15.8,237,8,0,0,0,0,Shaheen Ladha,False,True,Canada,Cancelled by Creator,BluAway Specs
1.77,140.48,2019-05-17,2019-04-17,Design,Geneva,Affordable unrestrained wall-art to encourage people to think out of the box!,77,"{15: 0, 30: 4, 89: 1, 103: 5, 107: 1, 111: 0, 119: 0, 125: 4, 143: 0, 209: 1, 250: 5}",679,$,120000,2.69,3231,23,2,0,4,0,Talia et David Bally,False,True,Switzerland,Cancelled by Creator,FUNKY FRAMES: WHEN ART POPS OUT OF ITS FRAME!
3.44,83.49,2019-03-13,2019-02-06,Product Design,London,"Don't lose your Airpods. PodPouch protects and stores a tracker and ear covers inside. In salmon skin, vegan leather & silicone rubber.",135,"{1: 2, 5: 3, 7: 8, 8: 1, 9: 1, 10: 7, 12: 0, 20: 6, 22: 4, 25: 1, 27: 2, 60: 4, 65: 3, 195: 4}",3832,£,8000,57.4,4592,55,4,2,0,1,Belal Breaga Bakht,False,True,UK,Cancelled by Creator,"PodPouch® for Airpods. Cases to protect, store and track."
3.93,137.44,2019-02-06,2019-01-07,Rock,Appleton,"Ifdakar is recording an album with Jake Cinninger of Umphrey's Mcgee, and they need your help to finish it!",107,"{5: 3, 15: 5, 20: 2, 25: 14, 35: 1, 50: 12, 100: 6, 250: 1, 400: 3, 600: 0, 1: 2}",1961,$,8000,101.36,8109,59,0,0,0,2,Ifdakar,False,False,WI,Funding Successful,Help Ifdakar Finish New Album with Jake Cinninger!
17.25,18.99,2019-03-13,2019-02-11,Games,London,"An original, two-player, abstract strategy game.",48,"{1: 6, 20: 50, 25: 8, 46: 2}",2628,£,20000,6.55,1310,69,5,0,0,0,Ben,False,True,UK,Funding Unsuccessful,Legatus
